auth success 
|                     |   open |   close |   low |   high |
|:--------------------|-------:|--------:|------:|-------:|
| 2025-10-27 09:31:00 |  1.953 |   1.946 | 1.945 |  1.954 |
| 2025-10-27 09:32:00 |  1.946 |   1.951 | 1.946 |  1.953 |
| 2025-10-27 09:33:00 |  1.951 |   1.948 | 1.947 |  1.952 |
| 2025-10-27 09:34:00 |  1.946 |   1.944 | 1.942 |  1.947 |
| 2025-10-27 09:35:00 |  1.944 |   1.949 | 1.943 |  1.95  |
| 2025-10-27 09:36:00 |  1.947 |   1.942 | 1.941 |  1.949 |
| 2025-10-27 09:37:00 |  1.941 |   1.947 | 1.94  |  1.947 |
| 2025-10-27 09:38:00 |  1.949 |   1.947 | 1.945 |  1.95  |
| 2025-10-27 09:39:00 |  1.948 |   1.95  | 1.948 |  1.953 |
| 2025-10-27 09:40:00 |  1.95  |   1.953 | 1.949 |  1.954 |
| 2025-10-27 09:41:00 |  1.951 |   1.952 | 1.951 |  1.955 |
| 2025-10-27 09:42:00 |  1.952 |   1.956 | 1.952 |  1.956 |
| 2025-10-27 09:43:00 |  1.955 |   1.955 | 1.952 |  1.955 |
| 2025-10-27 09:44:00 |  1.954 |   1.956 | 1.954 |  1.958 |
| 2025-10-27 09:45:00 |  1.955 |   1.956 | 1.955 |  1.957 |
| 2025-10-27 09:46:00 |  1.956 |   1.951 | 1.951 |  1.956 |
| 2025-10-27 09:47:00 |  1.952 |   1.948 | 1.947 |  1.952 |
| 2025-10-27 09:48:00 |  1.95  |   1.951 | 1.946 |  1.951 |
| 2025-10-27 09:49:00 |  1.951 |   1.948 | 1.948 |  1.952 |
| 2025-10-27 09:50:00 |  1.947 |   1.942 | 1.942 |  1.947 |
| 2025-10-27 09:51:00 |  1.941 |   1.945 | 1.94  |  1.945 |
| 2025-10-27 09:52:00 |  1.944 |   1.953 | 1.944 |  1.953 |
| 2025-10-27 09:53:00 |  1.953 |   1.955 | 1.953 |  1.955 |
| 2025-10-27 09:54:00 |  1.955 |   1.958 | 1.954 |  1.958 |
| 2025-10-27 09:55:00 |  1.958 |   1.956 | 1.953 |  1.959 |
| 2025-10-27 09:56:00 |  1.953 |   1.952 | 1.951 |  1.956 |
| 2025-10-27 09:57:00 |  1.952 |   1.95  | 1.95  |  1.954 |
| 2025-10-27 09:58:00 |  1.949 |   1.947 | 1.946 |  1.949 |
| 2025-10-27 09:59:00 |  1.947 |   1.946 | 1.945 |  1.947 |
| 2025-10-27 10:00:00 |  1.946 |   1.945 | 1.944 |  1.947 |
| 2025-10-27 10:01:00 |  1.943 |   1.94  | 1.94  |  1.943 |
| 2025-10-27 10:02:00 |  1.94  |   1.942 | 1.939 |  1.942 |
| 2025-10-27 10:03:00 |  1.942 |   1.944 | 1.942 |  1.944 |
| 2025-10-27 10:04:00 |  1.943 |   1.945 | 1.943 |  1.946 |
| 2025-10-27 10:05:00 |  1.946 |   1.951 | 1.946 |  1.951 |
| 2025-10-27 10:06:00 |  1.951 |   1.955 | 1.95  |  1.955 |
| 2025-10-27 10:07:00 |  1.955 |   1.953 | 1.953 |  1.955 |
| 2025-10-27 10:08:00 |  1.953 |   1.949 | 1.949 |  1.953 |
| 2025-10-27 10:09:00 |  1.949 |   1.949 | 1.949 |  1.953 |
| 2025-10-27 10:10:00 |  1.949 |   1.947 | 1.946 |  1.95  |
| 2025-10-27 10:11:00 |  1.947 |   1.952 | 1.947 |  1.953 |
| 2025-10-27 10:12:00 |  1.952 |   1.949 | 1.948 |  1.952 |
| 2025-10-27 10:13:00 |  1.949 |   1.952 | 1.948 |  1.952 |
| 2025-10-27 10:14:00 |  1.952 |   1.948 | 1.948 |  1.952 |
| 2025-10-27 10:15:00 |  1.948 |   1.944 | 1.944 |  1.948 |
| 2025-10-27 10:16:00 |  1.944 |   1.945 | 1.943 |  1.945 |
| 2025-10-27 10:17:00 |  1.944 |   1.944 | 1.942 |  1.945 |
| 2025-10-27 10:18:00 |  1.944 |   1.946 | 1.943 |  1.946 |
| 2025-10-27 10:19:00 |  1.946 |   1.949 | 1.946 |  1.949 |
| 2025-10-27 10:20:00 |  1.949 |   1.942 | 1.942 |  1.949 |
| 2025-10-27 10:21:00 |  1.942 |   1.94  | 1.938 |  1.942 |
| 2025-10-27 10:22:00 |  1.939 |   1.938 | 1.938 |  1.94  |
| 2025-10-27 10:23:00 |  1.938 |   1.935 | 1.935 |  1.938 |
| 2025-10-27 10:24:00 |  1.936 |   1.938 | 1.936 |  1.939 |
| 2025-10-27 10:25:00 |  1.939 |   1.942 | 1.939 |  1.942 |
| 2025-10-27 10:26:00 |  1.942 |   1.939 | 1.939 |  1.942 |
| 2025-10-27 10:27:00 |  1.939 |   1.94  | 1.939 |  1.942 |
| 2025-10-27 10:28:00 |  1.94  |   1.939 | 1.939 |  1.941 |
| 2025-10-27 10:29:00 |  1.939 |   1.935 | 1.935 |  1.939 |
| 2025-10-27 10:30:00 |  1.935 |   1.936 | 1.934 |  1.936 |
| 2025-10-27 10:31:00 |  1.936 |   1.934 | 1.934 |  1.936 |
| 2025-10-27 10:32:00 |  1.934 |   1.933 | 1.933 |  1.935 |
| 2025-10-27 10:33:00 |  1.935 |   1.937 | 1.935 |  1.939 |
