|      | day                 |   open |   high |   low |   close |   volume |           amount |
|-----:|:--------------------|-------:|-------:|------:|--------:|---------:|-----------------:|
|    0 | 2026-03-05 14:54:00 |  1.945 |  1.945 | 1.944 |   1.944 |   910600 |      1.77036e+06 |
|    1 | 2026-03-05 14:57:00 |  1.945 |  1.949 | 1.944 |   1.949 |  2713400 |      5.28215e+06 |
|    2 | 2026-03-05 15:00:00 |  1.95  |  1.95  | 1.95  |   1.95  |  3527142 |      6.87793e+06 |
|    3 | 2026-03-06 09:33:00 |  1.943 |  1.943 | 1.931 |   1.932 |  8264900 |      1.60071e+07 |
|    4 | 2026-03-06 09:36:00 |  1.931 |  1.939 | 1.924 |   1.935 |  9616100 |      1.85682e+07 |
|    5 | 2026-03-06 09:39:00 |  1.934 |  1.942 | 1.931 |   1.939 |  2006700 |      3.89019e+06 |
|    6 | 2026-03-06 09:42:00 |  1.939 |  1.943 | 1.933 |   1.935 |  2583500 |      5.00327e+06 |
|    7 | 2026-03-06 09:45:00 |  1.935 |  1.937 | 1.932 |   1.934 |  4698000 |      9.08392e+06 |
|    8 | 2026-03-06 09:48:00 |  1.934 |  1.938 | 1.932 |   1.935 |  3259300 |      6.30435e+06 |
|    9 | 2026-03-06 09:51:00 |  1.935 |  1.939 | 1.933 |   1.939 |   674300 |      1.3053e+06  |
|   10 | 2026-03-06 09:54:00 |  1.94  |  1.943 | 1.938 |   1.94  |  1742400 |      3.38212e+06 |
|   11 | 2026-03-06 09:57:00 |  1.94  |  1.941 | 1.937 |   1.939 |  1960700 |      3.80096e+06 |
|   12 | 2026-03-06 10:00:00 |  1.939 |  1.939 | 1.935 |   1.936 |   686400 |      1.32894e+06 |
|   13 | 2026-03-06 10:03:00 |  1.936 |  1.944 | 1.936 |   1.942 |  1908400 |      3.70177e+06 |
|   14 | 2026-03-06 10:06:00 |  1.942 |  1.945 | 1.942 |   1.942 |  1040900 |      2.02357e+06 |
|   15 | 2026-03-06 10:09:00 |  1.944 |  1.947 | 1.943 |   1.944 |   877500 |      1.70651e+06 |
|   16 | 2026-03-06 10:12:00 |  1.944 |  1.946 | 1.941 |   1.946 |  5557500 |      1.08043e+07 |
|   17 | 2026-03-06 10:15:00 |  1.946 |  1.95  | 1.946 |   1.949 |   720500 |      1.40377e+06 |
|   18 | 2026-03-06 10:18:00 |  1.949 |  1.95  | 1.946 |   1.947 | 22428300 |      4.36515e+07 |
|   19 | 2026-03-06 10:21:00 |  1.947 |  1.95  | 1.947 |   1.949 |  1123200 |      2.1882e+06  |
|   20 | 2026-03-06 10:24:00 |  1.947 |  1.954 | 1.947 |   1.952 |  6753400 |      1.31829e+07 |
|   21 | 2026-03-06 10:27:00 |  1.954 |  1.954 | 1.95  |   1.95  |   626200 |      1.22194e+06 |
|   22 | 2026-03-06 10:30:00 |  1.95  |  1.951 | 1.948 |   1.949 |   746400 |      1.45532e+06 |
|   23 | 2026-03-06 10:33:00 |  1.949 |  1.951 | 1.949 |   1.951 |  2372300 |      4.62692e+06 |
|   24 | 2026-03-06 10:36:00 |  1.951 |  1.951 | 1.948 |   1.95  |   549500 |      1.07161e+06 |
|   25 | 2026-03-06 10:39:00 |  1.949 |  1.952 | 1.949 |   1.951 |  1362600 |      2.65816e+06 |
|   26 | 2026-03-06 10:42:00 |  1.949 |  1.95  | 1.949 |   1.95  |   288900 | 563284           |
|   27 | 2026-03-06 10:45:00 |  1.95  |  1.953 | 1.95  |   1.951 |  6227700 |      1.21544e+07 |
|   28 | 2026-03-06 10:48:00 |  1.952 |  1.955 | 1.952 |   1.955 |  7530100 |      1.47138e+07 |
|   29 | 2026-03-06 10:51:00 |  1.955 |  1.958 | 1.955 |   1.957 |  8372600 |      1.6381e+07  |
|   30 | 2026-03-06 10:54:00 |  1.957 |  1.957 | 1.954 |   1.955 |  2899800 |      5.67424e+06 |
|   31 | 2026-03-06 10:57:00 |  1.956 |  1.956 | 1.951 |   1.952 |  2082900 |      4.0677e+06  |
|   32 | 2026-03-06 11:00:00 |  1.953 |  1.954 | 1.952 |   1.953 |    89400 | 174566           |
|   33 | 2026-03-06 11:03:00 |  1.953 |  1.957 | 1.953 |   1.956 |   273700 | 535131           |
|   34 | 2026-03-06 11:06:00 |  1.956 |  1.96  | 1.956 |   1.958 |  3052000 |      5.9795e+06  |
|   35 | 2026-03-06 11:09:00 |  1.959 |  1.961 | 1.958 |   1.961 |   336400 | 659208           |
|   36 | 2026-03-06 11:12:00 |  1.96  |  1.962 | 1.96  |   1.96  |  2322100 |      4.55355e+06 |
|   37 | 2026-03-06 11:15:00 |  1.961 |  1.963 | 1.96  |   1.963 |  2365900 |      4.64174e+06 |
|   38 | 2026-03-06 11:18:00 |  1.962 |  1.963 | 1.96  |   1.963 |   432900 | 849112           |
|   39 | 2026-03-06 11:21:00 |  1.962 |  1.962 | 1.96  |   1.96  |   127100 | 249249           |
|   40 | 2026-03-06 11:24:00 |  1.961 |  1.964 | 1.96  |   1.963 |   969800 |      1.90316e+06 |
|   41 | 2026-03-06 11:27:00 |  1.964 |  1.965 | 1.963 |   1.963 |   446600 | 877010           |
